PNsymbol,S11.3,OIhipster,OmniOS
developer_gnome_gettext,developer/gnome/gettext,developer/gnome/gettext,developer/gnome/gettext
developer_gperf,developer/gperf,developer/gperf,developer/gperf
driver_graphics_nvidia,/usr/X11/include/NVIDIA/vdpau/vdpau.h,driver/graphics/nvidia,driver/graphics/nvidia
icu_gpp_default,SFEicu-gpp,SFEicu-gpp,SFEicu-gpp
image_library_libexif,image/library/libexif,image/library/libexif,SFElibexif-gnu
java_runtime_default,runtime/java,runtime/java,runtime/java
library_desktop_gtk2,library/desktop/gtk2,library/desktop/gtk2,library/desktop/gtk2
library_gnome_gnome_libs,library/gnome/gnome-libs,library/gnome/gnome-libs,library/gnome/gnome-libs
library_guile,library/guile,library/guile,library/guile
library_libidn,library/libidn,library/libidn,library/libidn
library_pcre,library/pcre,library/pcre,library/pcre
library_readline,library/readline,library/readline,library/readline
library_zlib,library/zlib,library/zlib,library/zlib
mysql_default,database/mysql-51,database/mysql-51,database/mysql-51
openssl,library/security/openssl,library/security/openssl,library/security/openssl
perl_default,runtime/perl-512,runtime/perl-522,runtime/perl-64
perl_xml_parser,library/perl-5/xml-parser,library/perl-5/xml-parser,library/perl-5/xml-parser
pulseaudio,SUNWpulseaudio-devel,SFEpulseaudio-devel,SFEpulseaudio-devel
python_default,runtime/python-27,runtime/python-27,runtime/python-26
service_gnome_desktop_cache,service/gnome/desktop-cache,service/gnome/desktop-cache,service/gnome/desktop-cache
system_header_header_audio,system/header,system/header/header-audio,system/header/header-audio
system_library_math_header_math,system/library/math,system/library/math,system/library/math
system_management_snmp_net_snmp,system/management/snmp/net-snmp,system/management/snmp/net-snmp,system/management/snmp/net-snmp
system_network_avahi,system/network/avahi,system/network/avahi,system/network/avahi
text_gnu_diffutils,text/gnu-diffutils,text/gnu-diffutils,text/gnu-diffutils
web_browser_w3m,web/browser/w3m,web/browser/w3m,web/browser/w3m
x11_library_freeglut,x11/library/freeglut,SFEfreeglut,SFEfreeglut
